Country Name,Year,GDP per capita (current US$),Bachelor ,lower secondary,post-secondary,primary,short-cycle tertiary,upper secondary,Master,Doctoral
Argentina,1970 [YR1970],1322.714542,..,17.10000038,..,48.59999847,2.5,..,..,..
Argentina,1971 [YR1971],1372.507466,..,..,..,..,..,..,..,..
Argentina,1972 [YR1972],1409.370973,..,..,..,..,..,..,..,..
Argentina,1973 [YR1973],2097.89945,..,..,..,..,..,..,..,..
Argentina,1974 [YR1974],2844.969905,..,..,..,..,..,..,..,..
Argentina,1975 [YR1975],2026.684358,..,..,..,..,..,..,..,..
Argentina,1976 [YR1976],1946.919904,..,..,..,..,..,..,..,..
Argentina,1977 [YR1977],2126.48546,..,..,..,..,..,..,..,..
Argentina,1978 [YR1978],3282.063044,..,..,..,..,..,..,..,..
Argentina,1979 [YR1979],2511.973329,..,..,..,..,..,..,..,..
Argentina,1980 [YR1980],2747.502275,..,25.89999962,..,61.09999847,5.800000191,..,..,..
Argentina,1981 [YR1981],2764.086414,..,..,..,..,..,..,..,..
Argentina,1982 [YR1982],2914.767085,..,..,..,..,..,..,..,..
Argentina,1983 [YR1983],3537.747346,..,..,..,..,..,..,..,..
Argentina,1984 [YR1984],3915.034926,..,..,..,..,..,..,..,..
Argentina,1985 [YR1985],2905.775655,..,..,..,..,..,..,..,..
Argentina,1986 [YR1986],3436.078195,..,..,..,..,..,..,..,..
Argentina,1987 [YR1987],3477.30132,..,..,..,..,..,..,..,..
Argentina,1988 [YR1988],3992.703302,..,..,..,..,..,..,..,..
Argentina,1989 [YR1989],2374.573216,..,..,..,..,..,..,..,..
Argentina,1990 [YR1990],4315.333294,..,..,..,..,..,..,..,..
Argentina,1991 [YR1991],5709.247841,..,36.27000046,..,70.95999908,11.76000023,..,..,..
Argentina,1992 [YR1992],6789.996111,..,..,..,..,..,..,..,..
Argentina,1993 [YR1993],6931.855964,..,..,..,..,..,..,..,..
Argentina,1994 [YR1994],7437.562423,..,..,..,..,..,..,..,..
Argentina,1995 [YR1995],7357.616277,..,..,..,..,..,..,..,..
Argentina,1996 [YR1996],7663.212713,..,..,..,..,..,..,..,..
Argentina,1997 [YR1997],8146.7871,..,..,..,..,..,..,..,..
Argentina,1998 [YR1998],8218.992128,..,..,..,..,..,..,..,..
Argentina,1999 [YR1999],7705.542883,..,..,..,..,..,..,..,..
Argentina,2000 [YR2000],7637.014892,..,..,..,..,..,..,..,..
Argentina,2001 [YR2001],7141.475077,..,46.09999847,..,80.44999695,12.77999973,35.93999863,..,..
Argentina,2002 [YR2002],2569.699635,..,..,..,..,..,..,..,..
Argentina,2003 [YR2003],3320.477751,..,56.18999863,..,89.40000153,15.30000019,43.90999985,..,..
Argentina,2004 [YR2004],4242.020991,..,..,..,..,..,..,..,..
Argentina,2005 [YR2005],5067.653423,..,..,..,..,..,..,..,..
Argentina,2006 [YR2006],5869.38029,..,..,..,..,..,..,..,..
Argentina,2007 [YR2007],7185.251551,..,..,..,..,..,..,..,..
Argentina,2008 [YR2008],8944.110266,..,..,..,..,..,..,..,..
Argentina,2009 [YR2009],8150.23527,..,..,..,..,..,..,..,..
Argentina,2010 [YR2010],10260.13131,..,..,..,..,..,..,..,..
Argentina,2011 [YR2011],12704.28318,..,..,..,..,..,..,..,..
Argentina,2012 [YR2012],12949.71749,..,..,..,..,..,..,..,..
Argentina,2013 [YR2013],12963.67577,..,..,..,..,..,..,..,..
Argentina,2014 [YR2014],12233.14441,..,..,..,..,..,..,..,..
Argentina,2015 [YR2015],13679.6265,..,..,..,..,..,..,..,..
Argentina,2016 [YR2016],12699.96231,..,..,..,..,..,..,..,..
Argentina,2017 [YR2017],14532.50093,..,..,..,..,..,..,..,..
Argentina,2018 [YR2018],11752.79989,..,..,..,..,..,..,..,..
Argentina,2019 [YR2019],9955.974787,..,..,..,..,..,..,..,..
Argentina,2020 [YR2020],8535.59938,..,..,..,..,..,..,..,..
Argentina,2021 [YR2021],10738.01792,..,..,..,..,..,..,..,..
Argentina,2022 [YR2022],13935.68111,..,..,..,..,..,..,..,..
Argentina,2023 [YR2023],14187.48273,..,..,..,..,..,..,..,..
Bolivia,1970 [YR1970],219.3531895,..,..,..,..,..,..,..,..
Bolivia,1971 [YR1971],231.0582967,..,..,..,..,..,..,..,..
Bolivia,1972 [YR1972],267.8941345,..,..,..,..,..,..,..,..
Bolivia,1973 [YR1973],257.3418598,..,..,..,..,..,..,..,..
Bolivia,1974 [YR1974],418.3793847,..,..,..,..,..,..,..,..
Bolivia,1975 [YR1975],468.2981482,..,..,..,..,..,..,..,..
Bolivia,1976 [YR1976],519.9946885,..,17.12999916,..,..,3.279999971,8.899999619,..,..
Bolivia,1977 [YR1977],600.2882231,..,..,..,..,..,..,..,..
Bolivia,1978 [YR1978],683.142437,..,..,..,..,..,..,..,..
Bolivia,1979 [YR1979],801.033734,..,..,..,..,..,..,..,..
Bolivia,1980 [YR1980],772.7795239,..,..,..,..,..,..,..,..
Bolivia,1981 [YR1981],981.381289,..,..,..,..,..,..,..,..
Bolivia,1982 [YR1982],930.5930098,..,..,..,..,..,..,..,..
Bolivia,1983 [YR1983],880.4611795,..,..,..,..,..,..,..,..
Bolivia,1984 [YR1984],982.0812102,..,..,..,..,..,..,..,..
Bolivia,1985 [YR1985],838.0800517,..,..,..,..,..,..,..,..
Bolivia,1986 [YR1986],604.2573383,..,..,..,..,..,..,..,..
Bolivia,1987 [YR1987],649.7087694,..,..,..,..,..,..,..,..
Bolivia,1988 [YR1988],672.6071728,..,..,..,..,..,..,..,..
Bolivia,1989 [YR1989],675.4699939,..,..,..,..,..,..,..,..
Bolivia,1990 [YR1990],682.6768103,..,..,..,..,..,..,..,..
Bolivia,1991 [YR1991],733.9354876,..,..,..,..,..,..,..,..
Bolivia,1992 [YR1992],759.571135,..,37,8.670000076,43.43999863,8.670000076,23.21999931,..,..
Bolivia,1993 [YR1993],756.637016,..,..,..,..,..,..,..,..
Bolivia,1994 [YR1994],774.0356696,..,..,..,..,..,..,..,..
Bolivia,1995 [YR1995],852.7540349,..,..,..,..,..,..,..,..
Bolivia,1996 [YR1996],922.1132591,..,..,..,..,..,..,..,..
Bolivia,1997 [YR1997],970.3518434,..,..,..,..,..,..,..,..
Bolivia,1998 [YR1998],1022.145065,..,..,..,..,..,..,..,..
Bolivia,1999 [YR1999],979.344495,..,..,..,..,..,..,..,..
Bolivia,2000 [YR2000],975.7770604,..,36.99000168,..,43.77999878,..,26.04000092,..,..
Bolivia,2001 [YR2001],930.1682272,..,35.25,14.94999981,41.45999908,11.93000031,25.19000053,..,..
Bolivia,2002 [YR2002],888.221329,..,33.72999954,..,41.52000046,..,22.55999947,..,..
Bolivia,2003 [YR2003],893.0137602,..,..,..,..,..,..,..,..
Bolivia,2004 [YR2004],953.1918932,..,32.68000031,..,40.04000092,..,21.95999908,..,..
Bolivia,2005 [YR2005],1020.123262,..,38.11000061,..,45.16999817,..,26.94000053,..,..
Bolivia,2006 [YR2006],1202.711504,..,41.43000031,19.20000076,48.22999954,19.20000076,30.47999954,..,..
Bolivia,2007 [YR2007],1354.549059,..,43.06999969,..,48.72000122,..,31.68000031,..,..
Bolivia,2008 [YR2008],1692.672485,..,43.72999954,18.69000053,49.65999985,18.69000053,32.31999969,..,..
Bolivia,2009 [YR2009],1731.181721,..,45.49000168,21.03000069,51.70999908,21.03000069,33.91999817,..,..
Bolivia,2010 [YR2010],1929.783731,..,..,..,..,..,..,..,..
Bolivia,2011 [YR2011],2315.521219,14.69091129,48.27999878,14.69091129,54.24000168,14.69091129,37.06000137,0.728583217,0
Bolivia,2012 [YR2012],2575.598571,11.57649422,50.15999985,22.77000046,56.04000092,22.77000046,38.25,1.470000029,0.209999993
Bolivia,2013 [YR2013],2870.02377,12.80473614,53.34000015,12.80473614,58.88000107,12.80473614,42.25999832,0.740870237,0.100402176
Bolivia,2014 [YR2014],3041.435031,11.87136173,49.59000015,11.87136173,55.22999954,11.87136173,37.95999908,0.737624109,0.086250812
Bolivia,2015 [YR2015],2996.012898,21.07999992,50.81000137,26,56.25,26,38.49000168,0.810000002,0.159999996
Bolivia,2016 [YR2016],3035.873478,13.0258522,51.79999924,18.28683853,56.77999878,18.17449951,39.36000061,0.530681908,0.052663367
Bolivia,2017 [YR2017],3306.303012,13.91572571,52.91999817,20.73617363,58.11999893,20.62702942,41.70999908,0.601529062,0.057032522
Bolivia,2018 [YR2018],3500.726422,14.17947102,53.47999954,22.22143745,58.75,22.0802536,41.50999832,0.644439876,0.037587818
Bolivia,2019 [YR2019],3503.896011,23.43000031,57.31000137,29.62999916,62.86999893,29.62999916,44.63000107,1.120000005,0.109999999
Bolivia,2020 [YR2020],3099.94219,25.59000015,58.08000183,30.05999947,62.74000168,30.05999947,47.84000015,0.75,0.07
Bolivia,2021 [YR2021],3384.844865,16.35676193,58.40999985,27.60950851,64.08000183,27.57019043,45.86999893,1.344408274,0.045419425
Bolivia,2022 [YR2022],3643.92827,17.56173897,56.2663002,30.0802002,69.59677887,30.0802002,47.76402283,1.207460284,0.038934462
Bolivia,2023 [YR2023],3686.279965,18.2518959,57.39128113,..,69.99136353,31.28604317,48.85704041,1.348051667,0.046770733
Brazil,1970 [YR1970],443.799485,..,10.27000046,..,29.26000023,1.019999981,5.03000021,..,..
Brazil,1971 [YR1971],500.001989,..,..,..,..,..,..,..,..
Brazil,1972 [YR1972],583.4920349,..,..,..,..,..,..,..,..
Brazil,1973 [YR1973],814.7317806,..,..,..,..,..,..,..,..
Brazil,1974 [YR1974],1044.769809,..,..,..,..,..,..,..,..
Brazil,1975 [YR1975],1200.558237,..,..,..,..,..,..,..,..
Brazil,1976 [YR1976],1389.749523,..,9.199999809,..,13.19999981,3.200000048,..,..,..
Brazil,1977 [YR1977],1562.29143,..,..,..,..,..,..,..,..
Brazil,1978 [YR1978],1732.500122,..,..,..,..,..,..,..,..
Brazil,1979 [YR1979],1869.713376,..,..,..,..,..,..,..,..
Brazil,1980 [YR1980],1958.571592,..,11.31000042,..,15.93000031,4.139999866,..,..,..
Brazil,1981 [YR1981],2079.709084,..,..,..,..,..,..,..,..
Brazil,1982 [YR1982],2137.625036,..,..,..,..,..,..,..,..
Brazil,1983 [YR1983],1461.255827,..,..,..,..,..,..,..,..
Brazil,1984 [YR1984],1419.731546,..,..,..,..,..,..,..,..
Brazil,1985 [YR1985],1556.129718,..,..,..,..,..,..,..,..
Brazil,1986 [YR1986],1854.037752,..,..,..,..,..,..,..,..
Brazil,1987 [YR1987],2006.002262,..,..,..,..,..,..,..,..
Brazil,1988 [YR1988],2140.650276,..,..,..,..,..,..,..,..
Brazil,1989 [YR1989],2818.99278,..,..,..,..,..,..,..,..
Brazil,1990 [YR1990],3117.735347,..,..,..,..,..,..,..,..
Brazil,1991 [YR1991],2257.609297,..,..,..,..,..,..,..,..
Brazil,1992 [YR1992],2127.316427,..,..,..,..,..,..,..,..
Brazil,1993 [YR1993],2348.882477,..,..,..,..,..,..,..,..
Brazil,1994 [YR1994],3298.712507,..,..,..,..,..,..,..,..
Brazil,1995 [YR1995],4756.748408,..,..,..,..,..,..,..,..
Brazil,1996 [YR1996],5179.13052,..,..,..,..,..,..,..,..
Brazil,1997 [YR1997],5299.396304,..,..,..,..,..,..,..,..
Brazil,1998 [YR1998],5105.890995,..,..,..,..,..,..,..,..
Brazil,1999 [YR1999],3493.571625,..,..,..,..,..,..,..,..
Brazil,2000 [YR2000],3766.548115,..,..,..,..,..,..,..,..
Brazil,2001 [YR2001],3176.289357,..,38.27000046,..,66.86000061,..,26.12000084,..,..
Brazil,2002 [YR2002],2855.940189,..,39.81999969,..,68.19000244,..,27.69000053,..,..
Brazil,2003 [YR2003],3090.60701,..,41.56000137,..,69.23000336,..,29.11000061,..,..
Brazil,2004 [YR2004],3663.823188,..,42.86999893,..,70.05000305,8.630000114,30.40999985,..,..
Brazil,2005 [YR2005],4827.781731,..,43.95000076,..,70.94999695,..,31.5,..,..
Brazil,2006 [YR2006],5934.144711,..,46.20999908,..,72.66000366,9.119999886,33.58000183,..,..
Brazil,2007 [YR2007],7409.691307,..,48.06999969,..,73.54000092,10.14000034,34.93999863,..,..
Brazil,2008 [YR2008],8908.331766,..,50.22000122,..,74.51999664,10.84000015,36.66999817,..,..
Brazil,2009 [YR2009],8678.659225,..,51.02000046,..,75.37999725,11.56999969,38.27000046,..,..
Brazil,2010 [YR2010],11403.28213,..,52.02000046,..,..,12.51000023,37.59000015,..,..
Brazil,2011 [YR2011],13396.62436,..,54.52000046,..,75.90000153,12.64999962,40.93000031,..,..
Brazil,2012 [YR2012],12521.72135,..,55.68999863,..,78.33000183,13.25,42.25,..,..
Brazil,2013 [YR2013],12458.89121,..,57.11999893,..,78.58000183,13.98999977,43.72999954,..,..
Brazil,2014 [YR2014],12274.99397,..,57.65999985,..,79.19999695,14.69999981,44.50999832,..,..
Brazil,2015 [YR2015],8936.196618,..,58.86000061,..,79.88999939,15.06000042,45.68000031,..,..
Brazil,2016 [YR2016],8836.286526,16.92000008,61.38999939,..,82.15000153,16.92000008,48.75,0.74000001,0.170000002
Brazil,2017 [YR2017],10080.50928,17.54000092,62,..,83.19000244,17.54000092,49.45000076,0.75999999,0.180000007
Brazil,2018 [YR2018],9300.661649,18.29000092,63.20000076,..,84.23000336,18.29000092,51.22999954,0.899999976,0.209999993
Brazil,2019 [YR2019],9029.833267,..,64.45999908,..,84.75,..,52.40999985,..,..
Brazil,2020 [YR2020],7074.193783,..,66.66000366,..,86.26999664,..,54.95000076,..,..
Brazil,2021 [YR2021],7972.53665,..,67.40000153,..,86.56999969,..,55.47000122,..,..
Brazil,2022 [YR2022],9281.333344,..,67.87000275,..,86.43000031,23.14093399,56.06999969,..,0.246444315
Brazil,2023 [YR2023],10294.86668,..,69.95471191,..,86.12598419,23.56964493,61.50322723,..,0.25189355
Chile,1970 [YR1970],928.7753106,..,29,..,..,2.5,..,..,..
Chile,1971 [YR1971],1086.555074,..,..,..,..,..,..,..,..
Chile,1972 [YR1972],1163.074103,..,..,..,..,..,..,..,..
Chile,1973 [YR1973],1627.253567,..,..,..,..,..,..,..,..
Chile,1974 [YR1974],1542.925527,..,..,..,..,..,..,..,..
Chile,1975 [YR1975],714.1946235,..,..,..,..,..,..,..,..
Chile,1976 [YR1976],953.9015123,..,..,..,..,..,..,..,..
Chile,1977 [YR1977],1268.962883,..,..,..,..,..,..,..,..
Chile,1978 [YR1978],1431.350138,..,..,..,..,..,..,..,..
Chile,1979 [YR1979],1922.977189,..,..,..,..,..,..,..,..
Chile,1980 [YR1980],2523.055456,..,..,..,..,..,..,..,..
Chile,1981 [YR1981],2954.937434,..,..,..,..,..,..,..,..
Chile,1982 [YR1982],1648.011712,..,33.02999878,..,..,5.949999809,..,..,..
Chile,1983 [YR1983],1693.146767,..,..,..,..,..,..,..,..
Chile,1984 [YR1984],1611.4186,..,..,..,..,..,..,..,..
Chile,1985 [YR1985],1429.38851,..,..,..,..,..,..,..,..
Chile,1986 [YR1986],1501.091407,..,..,..,..,..,..,..,..
Chile,1987 [YR1987],1739.676991,..,..,..,..,..,..,..,..
Chile,1988 [YR1988],2003.363504,..,..,..,..,..,..,..,..
Chile,1989 [YR1989],2265.359377,..,..,..,..,..,..,..,..
Chile,1990 [YR1990],2466.130142,..,..,..,..,..,..,..,..
Chile,1991 [YR1991],2770.079646,..,..,..,..,..,..,..,..
Chile,1992 [YR1992],3309.399239,..,..,..,..,..,..,..,..
Chile,1993 [YR1993],3494.994609,..,..,..,..,..,..,..,..
Chile,1994 [YR1994],3981.390189,..,..,..,..,..,..,..,..
Chile,1995 [YR1995],5055.614062,..,..,..,..,..,..,..,..
Chile,1996 [YR1996],5333.504387,..,..,..,..,..,..,..,..
Chile,1997 [YR1997],5741.95843,..,..,..,..,..,..,..,..
Chile,1998 [YR1998],5419.824173,..,..,..,..,..,..,..,..
Chile,1999 [YR1999],4933.555815,..,..,..,..,..,..,..,..
Chile,2000 [YR2000],5052.992458,..,66.73000336,..,79.34999847,..,42.38000107,..,..
Chile,2001 [YR2001],4563.595299,..,..,..,..,..,..,..,..
Chile,2002 [YR2002],4430.847412,..,..,..,..,..,..,..,..
Chile,2003 [YR2003],4773.401775,..,68.95999908,..,80.69999695,..,44.90999985,..,..
Chile,2004 [YR2004],6120.591521,..,75.30999756,..,86.73000336,12.60999966,49.95000076,..,..
Chile,2005 [YR2005],7480.32331,..,..,..,..,..,..,..,..
Chile,2006 [YR2006],9318.656553,..,69.54000092,..,81.36000061,..,45.56000137,..,..
Chile,2007 [YR2007],10346.41382,..,76.33999634,..,88.76999664,13.86999989,50.08000183,..,..
Chile,2008 [YR2008],10683.21888,..,72.44999695,..,84.66000366,20.18000031,51,..,..
Chile,2009 [YR2009],10098.80172,..,73.45999908,..,83.48000336,..,50.52999878,..,..
Chile,2010 [YR2010],12632.87047,10.65900898,73.55000305,..,83.83999634,17.93000031,51.97999954,0.581263721,0.058040492
Chile,2011 [YR2011],14487.39278,9.850000381,74.01999664,..,84.23000336,14.77000046,51.61000061,0.370000005,0.042555146
Chile,2012 [YR2012],15241.907,11.41712666,75.56320953,16.83385468,84.88105774,11.41712666,53.7369194,0.96777463,0.053754319
Chile,2013 [YR2013],15683.54864,10.98999977,76.08999634,..,85.47000122,17.45000076,54.90999985,0.519999981,0.066401951
Chile,2014 [YR2014],14529.67672,12.59426785,77.53133392,18.18658829,86.05986023,12.59426785,56.25016785,1.182412148,0.08238434
Chile,2015 [YR2015],13433.9203,12.31999969,78.51000214,..,87.04000092,19.32999992,57.95999908,0.939999998,0.062880076
Chile,2016 [YR2016],13649.85205,13.00433922,78.24503326,19.21205139,86.51783752,13.00433922,57.54313278,1.180382371,0.115317747
Chile,2017 [YR2017],14879.90862,14.14000034,79.66000366,..,87.54000092,21.92000008,60.29999924,1.309999943,0.193601742
Chile,2018 [YR2018],15659.48087,14.55063057,80.59999084,21.6640377,87.84420776,14.55063057,60.87902832,1.560489535,0.13143003
Chile,2019 [YR2019],14495.71672,15.43481445,81.3367691,22.83043098,88.41060638,15.43481445,62.10457993,1.568638921,0.152953938
